ANO,TRIMESTRE,PROVEEDOR,COD_DEPARTAMENTO,DEPARTAMENTO,MUNICIPIO,CAB_MUNICIPAL,COBERT_2G,COBERT_3G,COBERT_4G,COBERT_LTE
2018,4,COMUNICACION CELULAR S A COMCEL S A,18,CAQUETA,BELÉN DE LOS ANDAQUÍES,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,13,BOLÍVAR,CICUCO,N,N,N,N,N
2018,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,41,HUILA,BARAYA,S,S,S,N,N
2018,1,AVANTEL S.A.S,25,CUNDINAMARCA,CHIPAQUE,S,S,N,N,N
2018,3,AVANTEL S.A.S,19,CAUCA,SILVIA,S,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,CALI,N,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,ATRATO,S,S,S,N,S
2018,1,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,PARATEBUENO,N,S,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,CAIMITO,S,S,S,N,S
2018,1,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,ROBERTO PAYÁN,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,PUERTO BOYACÁ,N,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,25,CUNDINAMARCA,RICAURTE,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,MEDELLÍN,N,S,S,N,N
2018,2,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,08,ATLÁNTICO,SANTO TOMÁS,S,S,S,N,S
2018,2,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,73,TOLIMA,IBAGUÉ,S,N,N,N,S
2018,1,COMUNICACION CELULAR S A COMCEL S A,73,TOLIMA,GUAMO,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,54,NORTE DE SANTANDER,HACARÍ,N,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,OTANCHE,N,S,S,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,JARDÍN,N,N,N,N,N
2018,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,41,HUILA,TELLO,S,S,S,N,S
2018,4,COMUNICACION CELULAR S A COMCEL S A,76,VALLE DEL CAUCA,DAGUA,N,N,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,EL LITORAL DEL SAN JUAN,N,N,N,N,N
2018,4,COLOMBIA TELECOMUNICACIONES S.A. E.S.P.,15,BOYACÁ,CERINZA,S,S,S,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,15,BOYACÁ,MOTAVITA,S,S,S,N,S
2018,1,COMUNICACION CELULAR S A COMCEL S A,66,RISARALDA,SANTUARIO,N,N,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,SAN VICENTE FERRER,S,S,S,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,PASTO,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,68,SANTANDER,EL GUACAMAYO,S,S,S,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,BOJAYA,N,N,N,N,N
2018,4,COLOMBIA MOVIL  S.A ESP,13,BOLÍVAR,SAN JACINTO,S,S,S,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,SAN BENITO ABAD,N,N,N,N,N
2018,1,EMPRESA DE TELECOMUNICACIONES DE BOGOTA S.A. ESP,88,"ARCHIPIÉLAGO DE SAN ANDRÉS, PROVIDENCIA Y SANTA CATALINA",SAN ANDRÉS,S,N,N,N,S
2018,4,AVANTEL S.A.S,20,CESAR,RÍO DE ORO,S,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,27,CHOCÓ,ISTMINA,N,N,N,N,N
2018,2,COMUNICACION CELULAR S A COMCEL S A,23,CÓRDOBA,CANALETE,N,N,N,N,N
2018,1,COMUNICACION CELULAR S A COMCEL S A,70,SUCRE,SUCRE,N,N,N,N,N
2018,4,COMUNICACION CELULAR S A COMCEL S A,52,NARIÑO,IPIALES,N,N,N,N,N
2018,3,COMUNICACION CELULAR S A COMCEL S A,08,ATLÁNTICO,PUERTO COLOMBIA,N,S,S,N,S
2018,4,COMUNICACION CELULAR S A COMCEL S A,05,ANTIOQUIA,FREDONIA,N,S,N,N,N
